conv_filter,conv_layers,conv_len,acc_val,loss_val,acc_train,loss_train,stages,win_len
32,3,3,0.75303,0.61368,0.75884,0.63787,3,51
128,3,7,0.74608,0.65163,0.79817,0.55965,3,51
32,1,7,0.74785,0.64606,0.74616,0.73273,3,51
64,2,7,0.74369,0.64139,0.76755,0.62438,3,51
128,2,5,0.75705,0.61915,0.775,0.65685,3,51
32,3,5,0.761,0.59276,0.76465,0.65174,3,51
128,1,7,0.75387,0.63853,0.75346,0.71152,3,51
64,1,7,0.74974,0.64358,0.74796,0.71645,3,51
64,1,3,0.7499,0.6452,0.74528,0.70786,3,51
64,3,5,0.75318,0.61333,0.7762,0.59506,3,51
64,2,5,0.7431,0.64434,0.76724,0.63018,3,51
128,2,3,0.70001,0.76264,0.71657,0.74943,4,101
32,1,3,0.69075,0.79811,0.68399,0.90567,4,101
128,3,5,0.67872,0.81632,0.75622,0.63718,4,101
64,3,7,0.69975,0.76886,0.73572,0.7247,4,101
128,1,3,0.69923,0.78391,0.69342,0.85084,4,101
64,1,5,0.69242,0.79707,0.69453,0.85801,4,101
32,2,7,0.67008,0.82552,0.6984,0.83048,4,101
64,2,3,0.68862,0.78391,0.70895,0.7756,4,101
128,2,7,0.69637,0.78284,0.73331,0.70799,4,101
128,1,5,0.69918,0.79032,0.69774,0.93902,4,101
32,2,3,0.69205,0.78382,0.69768,0.82557,4,101
64,3,3,0.70543,0.7448,0.72174,0.75099,4,101
32,2,5,0.68883,0.79661,0.70375,0.80804,4,101
32,3,7,0.6969,0.76603,0.71172,0.82684,4,101
128,3,3,0.68146,0.80338,0.73704,0.67595,4,101
32,1,5,0.68841,0.80184,0.68394,0.89687,4,101
32,3,3,0.69892,0.76332,0.70247,0.80064,4,101
128,3,7,0.68147,0.90375,0.76572,0.63467,4,101
32,1,7,0.68872,0.80374,0.68828,0.88907,4,101
64,2,7,0.68903,0.79243,0.71569,0.79529,4,101
128,2,5,0.68763,0.79521,0.72162,0.75053,4,101
32,3,5,0.70441,0.74989,0.71129,0.74892,4,101
128,1,7,0.6996,0.78322,0.69669,0.88954,4,101
64,1,7,0.6973,0.7927,0.69481,0.87322,4,101
64,1,3,0.69231,0.80407,0.68965,0.8868,4,101
64,3,5,0.7026,0.76011,0.72744,0.71141,4,101
64,2,5,0.68224,0.80653,0.71469,0.77569,4,101
128,2,3,0.67947,0.80639,0.69241,0.81084,4,21
32,1,3,0.66844,0.84494,0.65923,0.93633,4,21
128,3,5,0.68446,0.795,0.70689,0.78177,4,21
64,3,7,0.68774,0.78875,0.69638,0.80441,4,21
128,1,3,0.6803,0.82525,0.67161,0.91019,4,21
64,1,5,0.67683,0.83126,0.66954,0.9305,4,21
32,2,7,0.67328,0.82481,0.67911,0.85163,4,21
64,2,3,0.67799,0.81671,0.68342,0.83179,4,21
128,2,7,0.67676,0.81971,0.69457,0.79573,4,21
128,1,5,0.67885,0.82872,0.67489,0.89573,4,21
32,2,3,0.67464,0.8291,0.67274,0.86973,4,21
64,3,3,0.68663,0.79051,0.69309,0.81037,4,21
32,2,5,0.67483,0.82719,0.67831,0.85667,4,21
32,3,7,0.68294,0.8001,0.6839,0.8484,4,21
128,3,3,0.68493,0.78873,0.70132,0.78976,4,21
32,1,5,0.67444,0.83517,0.66563,0.9218,4,21
32,3,3,0.67918,0.8095,0.68299,0.84112,4,21
128,3,7,0.68498,0.80048,0.70727,0.77439,4,21
32,1,7,0.67145,0.84083,0.66433,0.92453,4,21
64,2,7,0.67927,0.8109,0.68867,0.80893,4,21
128,2,5,0.67861,0.81447,0.69189,0.80139,4,21
32,3,5,0.6794,0.8044,0.68315,0.84227,4,21
128,1,7,0.67689,0.83225,0.67313,0.92784,4,21
64,1,7,0.6736,0.83937,0.66913,0.91997,4,21
64,1,3,0.67361,0.83304,0.66552,0.92591,4,21
64,3,5,0.68706,0.78549,0.69589,0.82051,4,21
64,2,5,0.67584,0.82048,0.68843,0.81963,4,21
128,2,3,0.69595,0.77016,0.70852,0.77944,4,51
32,1,3,0.68389,0.81209,0.67594,0.91502,4,51
128,3,5,0.69642,0.76956,0.73383,0.71595,4,51
64,3,7,0.69896,0.76157,0.71792,0.75407,4,51
128,1,3,0.69233,0.80035,0.68513,0.8828,4,51
64,1,5,0.68464,0.81479,0.68497,0.87232,4,51
32,2,7,0.69112,0.78724,0.69569,0.81538,4,51
64,2,3,0.69387,0.77597,0.70169,0.79067,4,51
128,2,7,0.68206,0.81528,0.71383,0.7807,4,51
128,1,5,0.6955,0.79936,0.68893,0.83822,4,51
32,2,3,0.68464,0.80569,0.68824,0.83445,4,51
64,3,3,0.70149,0.75626,0.70982,0.7561,4,51
32,2,5,0.68951,0.79373,0.69306,0.83357,4,51
32,3,7,0.69832,0.7613,0.70511,0.80716,4,51
128,3,3,0.69005,0.78231,0.72363,0.72122,4,51
32,1,5,0.68731,0.80402,0.68072,0.90827,4,51
32,3,3,0.68505,0.7917,0.69612,0.82758,4,51
128,3,7,0.69404,0.79333,0.74308,0.68992,4,51
32,1,7,0.68419,0.81525,0.67937,0.90966,4,51
64,2,7,0.68736,0.79647,0.70736,0.76454,4,51
128,2,5,0.69565,0.7768,0.71002,0.77562,4,51
32,3,5,0.69999,0.76215,0.70162,0.79443,4,51
128,1,7,0.6792,0.82542,0.68877,0.8511,4,51
64,1,7,0.68592,0.81471,0.68401,0.87064,4,51
64,1,3,0.69012,0.80385,0.68105,0.89691,4,51
64,3,5,0.69482,0.77857,0.71487,0.76165,4,51
64,2,5,0.69765,0.76944,0.70439,0.79159,4,51
128,2,3,0.63432,0.96892,0.65729,0.97651,5,101
32,1,3,0.62989,0.99987,0.62923,1.0959,5,101
128,3,5,0.64322,0.96159,0.69645,0.8974,5,101
64,3,7,0.63109,0.99388,0.67127,0.88648,5,101
128,1,3,0.63833,0.98665,0.63612,1.1001,5,101
64,1,5,0.62497,1.0257,0.63593,1.0924,5,101
32,2,7,0.62616,0.99774,0.64173,1.0578,5,101
64,2,3,0.64437,0.94669,0.64957,1.0111,5,101
128,2,7,0.6169,1.0384,0.6666,0.94951,5,101
128,1,5,0.63848,0.98035,0.63895,1.0709,5,101
32,2,3,0.63629,0.97214,0.64111,1.0396,5,101
64,3,3,0.6463,0.93207,0.661,0.97235,5,101
32,2,5,0.63647,0.97155,0.64515,0.99842,5,101
32,3,7,0.64365,0.9457,0.65506,0.97787,5,101
128,3,3,0.62827,0.98603,0.67822,0.89139,5,101
32,1,5,0.62876,0.9999,0.63224,1.0874,5,101
32,3,3,0.63356,0.96499,0.64745,0.99253,5,101
128,3,7,0.62303,1.0566,0.70889,0.80014,5,101
32,1,7,0.62977,0.99997,0.63167,1.0555,5,101
64,2,7,0.63384,0.9773,0.6536,0.96429,5,101
128,2,5,0.62927,0.99165,0.66594,0.96402,5,101
32,3,5,0.64112,0.94696,0.65341,0.96364,5,101
128,1,7,0.63996,0.98131,0.63719,1.1196,5,101
64,1,7,0.636,0.98884,0.63558,1.1142,5,101
64,1,3,0.63102,0.99632,0.63241,1.0762,5,101
64,3,5,0.64804,0.93348,0.67071,0.96927,5,101
64,2,5,0.63736,0.97166,0.65302,0.96708,5,101
128,2,3,0.62111,0.99534,0.63304,1.0192,5,21
32,1,3,0.59466,1.0726,0.59067,1.1888,5,21
128,3,5,0.62519,0.98731,0.64869,0.98502,5,21
64,3,7,0.62121,0.9935,0.63719,0.99559,5,21
128,1,3,0.61549,1.0306,0.61242,1.1227,5,21
64,1,5,0.61345,1.0326,0.6118,1.1259,5,21
32,2,7,0.61311,1.0209,0.61995,1.0627,5,21
64,2,3,0.6208,1.0063,0.62688,1.0312,5,21
128,2,7,0.61493,1.018,0.63646,1.0201,5,21
128,1,5,0.61765,1.0269,0.61575,1.1238,5,21
32,2,3,0.60708,1.0326,0.61398,1.0852,5,21
64,3,3,0.62576,0.97679,0.63424,1.0014,5,21
32,2,5,0.60878,1.0257,0.61942,1.0653,5,21
32,3,7,0.6168,1.0048,0.62234,1.0528,5,21
128,3,3,0.6177,0.99647,0.64329,0.97199,5,21
32,1,5,0.61015,1.038,0.60438,1.1382,5,21
32,3,3,0.61748,1.0052,0.62262,1.0353,5,21
128,3,7,0.61973,1.0048,0.65104,0.96039,5,21
32,1,7,0.60712,1.0461,0.60231,1.1621,5,21
64,2,7,0.61551,1.0121,0.62888,1.0219,5,21
128,2,5,0.615,1.0123,0.63535,0.99031,5,21
32,3,5,0.62317,0.98665,0.62763,1.0346,5,21
128,1,7,0.61217,1.0372,0.61473,1.1357,5,21
64,1,7,0.61075,1.0403,0.60983,1.1291,5,21
64,1,3,0.61142,1.0357,0.60794,1.1243,5,21
64,3,5,0.6246,0.98839,0.63569,1.0124,5,21
64,2,5,0.61952,1.0065,0.62955,1.0167,5,21
128,2,3,0.63578,0.96685,0.64974,0.97922,5,51
32,1,3,0.62311,1.011,0.61906,1.1059,5,51
128,3,5,0.62537,1.0122,0.67568,0.90177,5,51
64,3,7,0.63674,0.97327,0.65947,0.98149,5,51
128,1,3,0.62469,1.0145,0.62741,1.0982,5,51
64,1,5,0.62935,0.99913,0.6264,1.0953,5,51
32,2,7,0.6262,0.98942,0.63807,0.98814,5,51
64,2,3,0.63682,0.97088,0.63936,1.0092,5,51
128,2,7,0.62939,0.98711,0.65426,0.97858,5,51
128,1,5,0.63176,0.99882,0.62982,1.0743,5,51
32,2,3,0.62545,0.99899,0.6287,1.0305,5,51
64,3,3,0.6392,0.94837,0.65208,0.96781,5,51
32,2,5,0.62289,0.99673,0.6356,1.0193,5,51
32,3,7,0.63605,0.95898,0.64372,0.99525,5,51
128,3,3,0.64065,0.94583,0.66306,0.93435,5,51
32,1,5,0.62312,1.0096,0.61922,1.1056,5,51
32,3,3,0.63241,0.97578,0.63882,1.0028,5,51
128,3,7,0.62726,1.012,0.68411,0.83816,5,51
32,1,7,0.61535,1.0291,0.61882,1.1102,5,51
64,2,7,0.63571,0.9702,0.65085,0.96919,5,51
128,2,5,0.63226,0.98171,0.65509,0.97939,5,51
32,3,5,0.6387,0.95174,0.64561,0.98276,5,51
128,1,7,0.63167,1.0027,0.62979,1.0823,5,51
64,1,7,0.6237,1.0193,0.6272,1.0967,5,51
64,1,3,0.62672,1.0057,0.62518,1.0858,5,51
64,3,5,0.63953,0.94938,0.65667,0.97282,5,51
64,2,5,0.63246,0.97448,0.64474,0.97544,5,51
